caption,caption_triples
a lamp post next to a building. the building has two windows and a flag hanging from the outside. a woman is walking toward the building.	,"a lamp post next to a building, two windows on the building, a flag hanging from the building, a woman walking toward the building,"
a blue car that is parked. the car has a round emblem on the back and a taillight. there is a building above the car.	,"a blue car parked, a round emblem on the back of the car, a taillight on the car, a building above the car,"
a van and car driving on a street with a sign on a building.	,"a van and car driving on a street, a sign on a building,"
"car on a road with cars beside it. there is a pole in front of a building, and a window on the car	","car on a road, cars beside the car, a pole in front of a building, a window on the car,"
woman wearing a skirt and a man walking on a sidewalk	,"woman wearing a skirt, man walking on a sidewalk,"
a truck with a large windshield in front of a window on a building	,"a truck with a large windshield, a window on a building,"
"trees over cars in a lot, and an automobile with a tire on it	","trees over cars in a lot, automobile with a tire on it,"
"leaves attached to a tree, with a palm tree on top of a plaza, and a lamp post on top of the plaza	","leaves attached to a tree, palm tree on top of a plaza, lamp post on top of the plaza,"
a car parked in front of a building with a sign posted in the grass behind it. bushes are in the grass in front of the car.	,"a car parked in front of a building, a sign in the grass behind the car, bushes in the grass in front of the car,"
"car on a street with a tree and a sign, and a lamp near the sky	","car on a street, a tree and a sign, a lamp near the sky,"
carpet in the middle of a bedroom with window in the middle and chalkboard on the wall	,"carpet in the middle of a bedroom, window in the middle of the bedroom, chalkboard on the wall,"
two people sitting by a house. the house has a window. a child is walking by the house. a man is walking by the house.	,"two people sitting by a house, a window on the house, a child walking by the house, a man walking by the house,"
"two shirts, one with a logo and white buttons, and the other with a light-brown collar	","two shirts, one with a logo and white buttons, the other with a light-brown collar."
stapler sitting on a carpet with a barrel and a chair. the barrel is lying on the carpet and the feet are on the chair. there is a logo on the stapler.	,"stapler sitting on a carpet, barrel on a carpet, chair with feet on it, logo on the stapler,"
people on a sidewalk near a car. there is a person on the sidewalk and a rock next to the sidewalk. the sidewalk is made of concrete.	,"people on a sidewalk, person on the sidewalk, rock next to the sidewalk, sidewalk made of concrete,"
"a tree and people in the water, with a boat out of the water	","tree in the water, people in the water, boat out of the water,"
a plane taking off from a runway with a window and the sky above	,"plane taking off from a runway, runway with a window, sky above the runway,"
"a woman with an eye and mouth, and a shadow from the woman	","woman with an eye, woman with a mouth, shadow from the woman,"
man holding parrot that is sitting on his hand; ponytail	,"man holding parrot, parrot sitting on his hand, man with a ponytail,"
"a person walking on the street, with a road that has lines on it, and a bag	","person walking on the street, road with lines, bag with the person,"
a window on a building and a car on the roadside	,"window on a building, car on the roadside,"
car on the floor with a wheel. there is a plane next to the car and a flag next to the plane. there are also some dolls near the car.	,"car on the floor, wheel of the car, plane next to the car, flag next to the plane, dolls near the car,"
"man wearing a shirt, with people on floats in a waterway	","man wearing a shirt, people on floats, floats in a waterway,"
"there are windows with blinds in front of them, a carpet on the floor, and a chair in the living room	","windows with blinds, carpet on the floor, chair in the living room,"
a drain pipe on a wall with a skinny tree next to a building.	,"drain pipe on a wall, skinny tree next to a building,"
a light affixed to a building next to a window and door. the door has handle grips and there are chairs stacked by the door.	,"light affixed to a building, building next to a window, door with handle grips, chairs stacked by the door,"
dirt path through a park with trees and a shadow on the sidewalk	,"dirt path through a park, trees in the park, shadow on the sidewalk,"
"column of a building, with a chain link fence, and two windows in the building	","column of a building, chain link fence, windows in the building,"
a tree with leaves outside a house that is marooned inside some vegetation	,"tree with leaves outside a house, house marooned in vegetation,"
a tree casting a shadow on mulch with weeds scattered through the mulch	,"tree casting a shadow, shadow on mulch, weeds scattered through the mulch,"
car with front tire and a mirror reflecting on the windows	,"car with front tire, mirror reflecting on windows,"
"a fence next to some dirt, with a pole in the dirt, and a shadow next to the ground.	","fence next to dirt, pole in the dirt, shadow next to the ground,"
a truck on the road with a tree next to it and people near a building	,"truck on the road, tree next to the truck, people near a building."
door next to a window in a house in the sky with a shadow on it	,"door next to a window, a window in a house in the sky, a shadow on the house."
there is an arcade in front of a coin slot with a gray wall behind it and a floor in the game room.	,"arcade in front of a coin slot, a gray wall behind the coin slot, a floor in the game room."
"a scorpion on a sign with a letter, and panels that are supported by poles	","scorpion on a sign, a sign with a letter, panels supported by poles."
"animals hanging from the ceiling, with a fish next to a curtain, and another fish next to the curtain	","animals hanging from the ceiling, a fish next to a curtain, another fish next to the curtain."
green plant on sill in living room with couch and cushions	,"green plant on sill in living room, couch in the living room, cushions on the couch."
"a bus with a mirror, screen, and window. a yellow vehicle is in front of the bus.	","a bus with a mirror, a bus with a screen, a bus with a window, a yellow vehicle in front of the bus."
"a turret on a building, and a bush near a door	","a turret on a building, a bush near a door."
text in corner of photo with name	,"text in corner of photo, name in the photo."
"a pepper on top of cucumbers, and a box of cucumbers with plastic bags on top	","a pepper on top of cucumbers, a box of cucumbers, plastic bags on the box."
a dock with a boat near it and the water below it. the sky is above the boat	,"a dock with a boat near it, water below the dock, the sky above the boat."
a table against the wall with some toys under it and a curtain over the window	,"a table against the wall, toys under the table, a curtain over the window."
shelves against a wall with a bookcase under a window and a shelf for toys. there is a car on the shelf.	,"shelves against a wall, a bookcase under a window, a shelf for toys, a car on the shelf."
"several pictures and cards on a wall, with one picture hanging on the wall, and an apple tree hanging from the wall.	","several pictures on a wall, one picture hanging on the wall, an apple tree hanging from the wall."
"an item on an oven, which is above a floor, and a rug on another floor	","an item on an oven, oven above a floor, a rug on another floor."
a chair next to a sofa with a stool near the wall. the wall is above the floor.	,"a chair next to a sofa, a stool near the wall, the wall above the floor."
a couch with a tripod and camera equipment in front of it in a living room. there is a lamp behind the couch.	,"a couch in a living room, a tripod in front of the couch, camera equipment in front of the couch, a lamp behind the couch."
"pillow, another pillow, and magazine on a sofa and coffee table, with a couch behind the coffee table	","pillow on a sofa, another pillow on a sofa, magazine on a sofa, coffee table with a couch behind it."
a vase of flowers and a mirror hanging on a wall. the mirror has a frame with a picture in it.	,"a vase of flowers on a wall, a mirror hanging on a wall, a frame with a picture in the mirror."
"a block attached to a building, with a garbage can next to the building and bricks on the ground	","a block attached to a building, a garbage can next to the building, bricks on the ground."
"paper hanging on the wall, and the wall by the another wall. the light is reflecting off the floor.	","paper hanging on the wall, a wall by another wall, light reflecting off the floor."
"tree, house, fence, and creek with clouds in the sky	","tree, house, fence, creek, clouds in the sky"
a boy wearing a tag on his shirt is standing in front of a wall. a computer is on the desk. a man is looking at a coat.	,"a boy wearing a tag on his shirt, a boy standing in front of a wall, a computer on a desk, a man looking at a coat"
a person looks at a car that is in water. the car has a windshield. the person is a woman wearing pants and a top.	,"a person looking at a car, a car in water, a car with a windshield, a woman wearing pants and a top"
a jeep and fence in front of a garden with a weed and trellis.	,"a jeep in front of a garden, a fence in front of a garden, a garden with a weed, a garden with a trellis"
"crowd of people in front of a building, with a bush above them and a pole on the wall	","crowd of people in front of a building, a bush above the crowd, a pole on the wall"
a car on the road with a sign on a pole and the sky in the background	,"a car on the road, a sign on a pole, the sky in the background"
a golf cart and car parked by a building with a wall in front of it	,"a golf cart parked by a building, a car parked by a building, a building with a wall in front"
"a lamp with a shade on it, sitting on a rug on the floor. there is a shelf on the floor next to the lamp.	","a lamp with a shade, a lamp sitting on a rug, a rug on the floor, a shelf on the floor, a shelf next to the lamp"
"blinds that cover the window, a rocking chair made of wicker, and a throw pillow on the rocking chair	","blinds covering a window, a rocking chair made of wicker, a throw pillow on the rocking chair"
"a pillow and another pillow lying on a couch, and a frame on the wall	","a pillow lying on a couch, another pillow lying on a couch, a frame on the wall"
a black couch with two pillows in a living room with a coffee table and dresser	,"a black couch with two pillows, a living room with a coffee table, a living room with a dresser"
a pillow on a chair in a living room with a table	,"a pillow on a chair, a chair in a living room, a living room with a table"
"picture frame behind a couch with a cushion and blanket on it, and a radiator next to the wall.	","picture frame behind a couch, a couch with a cushion, a couch with a blanket, a radiator next to the wall"
"a wall on a building, and a stadium on the ground	","a wall on a building, a stadium on the ground"
"a house with a roof, door, box, and railing on the side. there are branches hanging in front of the house.	","a house with a roof, a house with a door, a house with a box, a house with a railing, branches hanging in front of the house"
sidewalk leading to a building with a window and a reflection. there is a half wall in front of the house	,"sidewalk leading to a building, a building with a window, a building with a reflection, a half wall in front of the house"
a house with a yard in front of it and a driveway next to a fence. there is a van parked beside the house.	,"a house with a yard, a driveway next to a fence, a van parked beside the house"
a latch on a building and a fence behind some trees	,"a latch on a building, a fence behind some trees"
a house with a roof and a cat sitting on the pavement in front of the house	,"a house with a roof, a cat sitting on the pavement, a pavement in front of the house"
"a fence surrounding a building, with a bird fountain in front of it that is covered in snow, and a gate leading into the building	","a fence surrounding a building, a bird fountain in front of the building, a fountain covered in snow, a gate leading into the building"
a tray of fish with papers behind it and the fish in a plastic container	,"a tray of fish, papers behind the tray, fish in a plastic container,"
a plate of food with a glass and fork on a mat	,"a plate of food, a glass on the plate, a fork on the plate, a mat under the plate,"
"a knife, spoon, and fork on a glass table.	","a knife on a glass table, a spoon on a glass table, a fork on a glass table,"
"a shelf with a camera on a table behind it, and a basket on another table	","a shelf with a camera, a table behind the shelf, a basket on another table,"
"chair, table, and another chair next to each other with a black mat in front of a door on the floor	","a chair next to a table, a table next to another chair, a black mat in front of a door on the floor,"
"a pot on top of an oven, with a stove that has a knob, and a kettle and tea pot on top of the stove	","a pot on top of an oven, a stove with a knob, a kettle on top of the stove, a tea pot on top of the stove,"
"boy with hair wearing a band on his arm, using a fork on a napkin on a table	","boy with hair, a band on his arm, a fork on a napkin on a table,"
a person next to a van near a building. the building has a window and the road has a line.	,"a person next to a van, a van near a building, a building with a window, a road with a line,"
a building on the ground with a car next to it and people under the sky	,"a building on the ground, a car next to the building, people under the sky,"
man waiting for wine glass on table with water spots	,"man waiting for a wine glass on a table, a table with water spots,"
a curtain on a rod with a decoration on the wall and a palm on the decoration	,"a curtain on a rod, a decoration on the wall, a palm on the decoration,"
"a blender on a counter with a knob, lid, and pan. the pan has black handles.	","a blender on a counter, a counter with a knob, a lid on the counter, a pan with black handles on the counter,"
"a sign with a screw in it that is attached to a pole, and a sticker with a word on it	","a sign with a screw in it, a sign attached to a pole, a sticker with a word on it,"
"a girl with an arm on her and a bracelet, and a bottle on a ledge	","a girl with an arm, a bracelet on her arm, a bottle on a ledge,"
"there is a sheep behind a fence, and a goat on top of a hill.	","a sheep behind a fence, a goat on top of a hill,"
man standing on a bench with a sneaker; the bench is in the background and the ground is under the bench.	,"man standing on a bench, a sneaker on the man, the bench in the background, the ground under the bench,"
"a door knob on a door that is in a home, and a table with a glass cover	","a door knob on a door in a home, a table with a glass cover in the home,"
"a bus with a pole, tire, and two names. the bus has an open door.	","a bus with a pole, a tire on the bus, two names on the bus, the bus has an open door,"
"a cat near a chair on a carpeted floor, with a table and books nearby	","a cat near a chair on a carpeted floor, a table nearby, books nearby,"
"stop sign with a heart on it and a green sign above it, with trees in the background	","stop sign with a heart on it, a green sign above the stop sign, trees in the background."
"a window on a tower, a structure by the building, and vents on the window	","a window on a tower, a structure by the building, vents on the window,"
"a dead animal with a bone protruding out of its leg, and rocks and white fur around it	","a dead animal with a bone protruding out of its leg, rocks around the animal, white fur around the animal,"
"fridge with an ice maker built into it, standing inside a kitchen with a door leading to it	","fridge with an ice maker built into it, fridge standing inside a kitchen, a door leading to the kitchen,"
a man wearing shoes and shorts and holding a racket on a court.	,"a man wearing shoes and shorts, a man holding a racket, the man on a court,"
a person wearing shorts and a watch on their wrist sitting on a bench	,"a person wearing shorts, a person with a watch on their wrist, the person sitting on a bench,"
"bus on a road with writting on its side and windows on it, and a shadow of the bus	","bus on a road, writting on the side of the bus, windows on the bus, a shadow of the bus,"
"batter wearing a helmet in a dugout with a bat and a camera, and a fence above it	","batter wearing a helmet, batter in a dugout, a bat and a camera in the dugout, a fence above the dugout,"
woman behind a fence that surrounds a tennis court; there is a wall around the court	,"woman behind a fence, the fence surrounds a tennis court, a wall around the court,"
"a giraffe with a leg and head, in front of a boulder, with a pen and tree beyond it	","a giraffe with a leg and head, the giraffe in front of a boulder, a pen and tree beyond the boulder,"
"a window and doors alongside a black line, and a bolt on a trolley	","a window and doors alongside a black line, a bolt on a trolley,"
"a beaker of water with flowers and lines marked on it, and a book with a barcode	","a beaker of water with flowers, lines marked on the beaker, a book with a barcode,"
a catcher wearing a glove and a base coach behind him on a field with grass and a fence.	,"a catcher wearing a glove, a base coach behind the catcher, a field with grass and a fence,"
a meter with a button and a yellow button on the sidewalk with a sticker.	,"a meter with a button, a yellow button on the meter, the meter on the sidewalk with a sticker,"
"person, another person, and another person by the closest bus stop, with a lampstand on the side of the road	","person by the bus stop, another person by the bus stop, another person by the bus stop, a lampstand on the side of the road,"
"hands on a clock, a pendulum on another clock, a couch by another clock, and a note by another clock	","hands on a clock, a pendulum on another clock, a couch by a clock, a note by another clock,"
"a team in the dugout by a baseball field, and a man swinging a bat	","a team in the dugout, the dugout by a baseball field, a man swinging a bat,"
"a kite in the sky with wires attached to it, and waves in an ocean.	","a kite in the sky, wires attached to the kite, waves in an ocean,"
"boy with hair playing frisbee on a street, wearing a shirt and pants	","boy with hair playing frisbee, the boy wearing a shirt, the boy wearing pants,"
"player with hand in pocket, net protecting player, helmet on head, and 35 on jersey	","player with hand in pocket, net protecting the player, helmet on the player's head, 35 on the player's jersey,"
man with a watch on his wrist holding a racket and balls in his hand	,"man with a watch on his wrist, the man holding a racket, balls in the man's hand."
a metal arch above some items on a plate. the items on the plate are next to some containers.	,"a metal arch above items on a plate, items on a plate next to containers."
"tongue sticking out under nose, horse standing behind fence, with eye and grass	","tongue sticking out under nose, horse standing behind fence, horse with eye and grass."
"train with door and windows on it, and tracks for the train. a person is on the platform	","train with door and windows, train with tracks, a person on the platform."
"food in a dish. there is an omelet, a piece of meat, and some tomatoes.	","food in a dish, omelet in the dish, meat in the dish, tomatoes in the dish."
apples hanging from a tree next to a building with a roof	,"apples hanging from a tree, a tree next to a building with a roof."
man on bench with bag and phone; his shoe is on the floor	,"man on bench with bag, man on bench with phone, his shoe on the floor."
"trees, another tree, and another trees near a building, and a cement block under a light pole	","trees near a building, another tree near a building, trees near a light pole, a cement block under a light pole."
man on a bench near a walkway with a tree in front of the bench	,"man on a bench near a walkway, a tree in front of the bench."
cars on bridge with railing and sidewalk. house beside bridge. signs on post.	,"cars on bridge with railing, bridge with sidewalk, house beside bridge, signs on post."
"water reflecting sunlight, an umbrella on a beach with a cloth, and a pole for the umbrella	","water reflecting sunlight, umbrella on a beach with a cloth, pole for the umbrella."
"the controls and overhead lights in a plane, with the wall of the plane in the background	","controls in a plane, overhead lights in a plane, wall of the plane in the background."
"a bear with a nose, eye, mouth, and ear	","a bear with a nose, a bear with an eye, a bear with a mouth, a bear with an ear."
"a white line on the ground, a fence next to the street, and a pole near the fence	","a white line on the ground, a fence next to the street, a pole near the fence."
girl in gray shorts casts a shadow on the court. she is wearing shoes.	,"girl in gray shorts casts a shadow, she is wearing shoes."
"a shelf over a counter, and a bucket with a handle	","a shelf over a counter, a bucket with a handle."
a man with a pole and a cap is being watched by a person. the man is also wearing glasses.	,"a man with a pole and a cap, a man wearing glasses, a person watching the man."
a sign on a pole in front of a building with a shadow on the ground from the sun	,"a sign on a pole, a building with a shadow on the ground from the sun."
grass on the ground with trees growing behind trucks	,"grass on the ground, trees growing behind trucks."
"a man is bending over a bicycle to work on it, and there is a wheel and pedal from another bicycle nearby	","a man bending over a bicycle, a wheel and pedal from another bicycle nearby."
woman sitting on couch with hair and pants; man sitting on couch playing with controllers	,"woman sitting on couch with hair, woman sitting on couch with pants, man sitting on couch playing with controllers."
brown dirt on grass with the shadow of a tail	,"brown dirt on grass, shadow of a tail on grass."
electrical wires on a cement post with clouds in the sky.	,"electrical wires on a cement post, clouds in the sky."
"a lamp on a table next to a bed, and a phone on the same table	","a lamp on a table, a table next to a bed, a phone on the table."
batter wearing helmet and 2 on shirt	,"batter wearing helmet, 2 on shirt."
"a guy wearing athletic shoes and shorts, holding a racquet with a handle. his right foot is in an athletic shoe.	","a guy wearing athletic shoes, a guy in shorts, holding a racquet with a handle, his right foot in an athletic shoe."
a catcher in uniform with dirt on it; there is a line and grass on the field	,"a catcher in uniform with dirt, a line on the field, grass on the field."
"brick building with a window that has a hole and a sticker in it, and a ledge on the window	","brick building with a window, a window with a hole and a sticker, a ledge on the window."
woman using a laptop computer with her nose and head	,"woman using a laptop computer with her nose, woman using a laptop with her head."
"a motorcycle on a road with an exhaust, license plate, and sticker. the motorcycle has saddle bags.	","a motorcycle on a road, motorcycle with an exhaust, license plate, and sticker, saddle bags on the motorcycle."
a man wearing a shirt and playing with a ball. his nose and arm are visible. there is a shadow on the ground.	,"a man wearing a shirt, a man playing with a ball, his nose and arm visible, shadow on the ground."
"a man on the beach with a surfboard. the man has a head, shoulder, and leg.	","a man on the beach, a man with a surfboard, the man has a head, shoulder, and leg."
"knife, fork, and silver spoon on a table, with the fork's tines up	","knife, fork, and silver spoon on a table, fork's tines up."
"a sign with a picture and a sticker that says ""stop"" and has two screws in front of it	","a sign with a picture and sticker, sticker says ""stop"", two screws in front of the sign."
a hand holding carrots by their stems with the heads of the carrots visible	,"a hand holding carrots by their stems, heads of the carrots visible."
green lettuce on top of tomatoes and tomato slices on a paper plate with a jar behind it	,"green lettuce on top of tomatoes, tomato slices on a paper plate, a jar behind the plate."
"a kitten pulling a strap with its mouth, and a game controller on the floor	","a kitten pulling a strap with its mouth, a game controller on the floor."
"a strap on a red bag, which is on the floor next to a wall. cloth is tied to the red bag.	","a strap on a red bag, red bag on the floor next to a wall, cloth tied to the red bag."
"a hot dog with onionrings, and lettuce on top of it with aluminum foil underneath	","a hot dog with onion rings, lettuce on top of the hot dog, aluminum foil underneath."
a man wearing a red hat and a white uniform with socks	,"a man wearing a red hat, a man in a white uniform with socks."
"rabbit with ear, eye, and nose, and banana on the floor	","rabbit with ear, eye, and nose, banana on the floor."
a sofa with a cushion and a painting hanging on the wall. the painting is on top of a picture.	,"a sofa with a cushion, a painting hanging on the wall, the painting on top of a picture."
"a plate on the back of a car, a letter on a truck, and a traingle on the truck	","a plate on the back of a car, a letter on a truck, a traingle on the truck."
"a train with a door, window, and number one; another train with a door; and another train with a window and a building behind it	","a train with a door, a train with a window, a train with a number one, another train with a door, another train with a window, a building behind the train."
a gamer playing a game on a tv. the tv is below a speaker and in front of a wheel and bowl. there is equipment below the tv.	,"a gamer playing a game on a tv, the tv below a speaker, the tv in front of a wheel, the tv in front of a bowl, equipment below the tv."
"a bicycle with a front wheel, a mug of lemonade, a napkin, and a fork on a table	","a bicycle with a front wheel, a mug of lemonade on a table, a napkin on a table, a fork on a table."
a blender on a countertop with a lid underneath a wood handle and tiles on the countertop	,"a blender on a countertop, a lid underneath a wood handle, tiles on the countertop."
"laundry and a container on a floor, and rug and toothpaste on a tile	","laundry on a floor, a container on a floor, a rug on a tile, toothpaste on a tile."
a mirror hung on the wall with lamps above it and a sink beneath it	,"a mirror hung on the wall, lamps above the mirror, a sink beneath the mirror."
"a boy holding an object up to his eye, with another eye on the counter	","a boy holding an object, another eye on the counter."
a table made of wood with a book on it and lamps on the mantle	,"a table made of wood, a book on the table, lamps on the mantle."
"tv on a center with a figurine and a bust of spiderman, and a car in front of the tv	","tv on a center, a figurine on the center, a bust of spiderman on the center, a car in front of the tv."
"a surfer with their foot on a surfboard, wearing a wet suit with a curve	","a surfer with their foot on a surfboard, wearing a wet suit with a curve."
"a palm with leaves and palm leaves on the side of the road, with a bus driving on the highway	","a palm with leaves, palm leaves on the side of the road, a bus driving on the highway."
there is a shaker of pepper flakes on the table and a man with a shirt.	,"a shaker of pepper flakes on the table, a man with a shirt."
a man in shorts standing on a tennis court. his eye and mouth are on his head	,"a man in shorts standing on a tennis court, his eye on his head, his mouth on his head."
girl in shirt sitting on couch in room with brown walls	,"girl in shirt sitting on couch, couch in room with brown walls."
"a tower on a building, with a climbing rose near a window, and a hedge growing next to the building	","a tower on a building, a climbing rose near a window, a hedge growing next to the building."
"a bottle and cup on top of a ledge, and a person inside a dugout	","a bottle on top of a ledge, a cup on top of a ledge, a person inside a dugout."
sign on sidewalk. sidewalk has brick. weeds on ground.	,"sign on sidewalk, sidewalk has brick, weeds on ground."
"outlet on a wall with a boy in a shirt and a phone near it, and a window in the wall	","outlet on a wall, a boy in a shirt, a phone near the outlet, a window in the wall."
"snow on top of a mountain that is in some ice, with other mountains in the background behind some trees	","snow on top of a mountain, a mountain in some ice, other mountains in the background, trees in front of mountains,"
a bathroom with two sinks and a wall fixture	,"a bathroom with two sinks, a bathroom with a wall fixture,"
"stone on building, light in building, another light and another light inside coffee shop	","stone on building, light in building, another light inside coffee shop, another light inside coffee shop,"
a table with an adult hand holding a crust and bottles of soda on it	,"a table with an adult hand, a hand holding a crust, bottles of soda on a table,"
"a sunflower and a sign with the sun on it, and a pole with another sign on it	","a sunflower with the sun on it, a sign with the sun, a pole with another sign on it,"
"soda near a hot dog, with the word ""can"" spelled out in letters on the can, which is on a counter	","soda near a hot dog, a can with the word ""can"" on it, a can on a counter,"
a wall with a mirror and a reflection on the mirror. the reflection is from a shower.	,"a wall with a mirror, a reflection on the mirror, a reflection from a shower,"
a car behind some trees and a bench on the sidewalk with a person sitting on it	,"a car behind some trees, a bench on the sidewalk, a person sitting on a bench,"
"a wall made of bricks with a sink leaning against it, and another brick in the wall	","a wall made of bricks, a sink leaning against a wall, another brick in the wall,"
"a building with planks and signs set against the sky, and a lamp pole in front of the building	","a building with planks, signs set against the sky, a lamp pole in front of the building,"
a train on tracks with a tree on the side of the tracks and leaves on the tree	,"a train on tracks, a tree on the side of tracks, leaves on a tree,"
"a wire above a car, a slat between a track, and a pebble near the track	","a wire above a car, a slat between a track, a pebble near the track,"
a tire on the front of a bus and headlights on another bus with an oxford on the side	,"a tire on the front of a bus, headlights on another bus, an oxford on the side of a bus,"
"chicken with gravy on a plate, and food on top of the plate. there is a glass beside the plate with a drink inside	","chicken with gravy on a plate, food on top of the plate, a glass beside the plate, a drink inside the glass,"
paint and bolt on a stop sign that is on a pole and on a sidewalk	,"paint and bolt on a stop sign, a stop sign on a pole, a pole on a sidewalk,"
"there is a lamp on a table with a string hanging down from it, and there is a silver object on the table	","a lamp on a table, a string hanging down from a lamp, a silver object on the table,"
a depot on a sidewalk with a shadow of lights and the lights are silver in color	,"a depot on a sidewalk, a shadow of lights, lights that are silver in color,"
"rock, brown grass, and a patch of dirt on the ground, which drops in elevation	","rock on the ground, brown grass on the ground, a patch of dirt on the ground,"
"tower, tree, box, and shadow on sand with water in the background	","tower on sand, tree on sand, box on sand, shadow on sand, water in the background,"
"floor lamp with shade, and three pillows on a chair	","floor lamp with shade, three pillows on a chair,"
people on a motorcycle with a number and a group on a bike with a helmet	,"people on a motorcycle with a number, a group on a bike, a helmet on the bike,"
"overhang on a train terminal with a train at the station, and windshield and another windshield on the train	","overhang on a train terminal, a train at the station, a windshield on the train, another windshield on the train,"
"reflection of a tall tree in a window, and traffic light and trees reflected on another window	","reflection of a tall tree in a window, traffic light reflected on another window, trees reflected on another window,"
"woman on top of a bike holding a cellphone, with a coat, and a hand holding onto the bike	","woman on top of a bike, holding a cellphone, with a coat, a hand holding onto the bike,"
"two men walking on a sidewalk with a sign behind them, trash bags near a pole, and bicycles parked on the sidewalk	","two men walking on a sidewalk, a sign behind them, trash bags near a pole, bicycles parked on the sidewalk,"
light on a car with a trunk lid and a blue box in the trunk. the car has a window	,"light on a car, a trunk lid on the car, a blue box in the trunk, a window on the car,"
"car with a door, a window, and a handicap sign. there is graffiti on another car	","car with a door, a window, a handicap sign on the car, graffiti on another car,"
"wreath, window, and walkway in front of a house, and a plant in a pot	","wreath in front of a house, window in front of a house, walkway in front of a house, a plant in a pot,"
"bike parked on a street with a front wheel on a motorcycle and a sidecar on the motorcycle, and light on the bike	","bike parked on a street, a front wheel on a motorcycle, a sidecar on the motorcycle, light on the bike,"
"bus in a street with a pole on top of a station in front of it, and a roof over the bus	","bus in a street, a pole on top of a station in front of the bus, a roof over the bus,"
"girl with a nose, an eye, and a ring on her umbrella, and a hand at her	","girl with a nose, an eye, a ring on her umbrella, a hand at her,"
man next to a fire hydrant with a shadow across the sidewalk. there is a starfish attached to the wall and a building behind the man.	,"man next to a fire hydrant, a shadow across the sidewalk, a starfish attached to the wall, a building behind the man,"
"cherry cake with a candle on it. there is another cherry cake with fruit on it, and the whole thing is on a plate.	","cherry cake with a candle, another cherry cake with fruit, the whole thing on a plate,"
"a bowl of vegetables, a glass, and a plate on a table. there is also a cutting board with cheese.	","a bowl of vegetables on a table, a glass on a table, a plate on a table, a cutting board with cheese,"
"airplane with wheels in the middle of it and light under it, in the sky with clouds	","airplane with wheels, light under the airplane, in the sky with clouds,"
a train with a pole near the track and people next to the train	,"a train with a pole near the track, people next to the train,"
"lights of tracks with a door that has a window, and signals and signs on a pole	","lights of tracks, a door with a window, signals and signs on a pole,"
cup with an edge on a table with a coffee mug and mug. there is a plate under the cup.	,"cup with an edge on a table, a coffee mug on the table, a mug on the table, a plate under the cup,"
a man wearing a boot on the sidewalk with a tree in the sidewalk	,"a man wearing a boot on the sidewalk, a tree in the sidewalk,"
"player going for a ball with a hat, band, and sock on, and a racquet in hand	","player going for a ball, a hat on the player, a band on the player, a sock on the player, a racquet in hand."
"a dish of food with a fork below it. there is another fork near some another food, and there is rice on the dish.	","dish of food with a fork below, another fork near another food, rice on the dish,"
"zebra with hind next to a wall with trim, a window, and a beam. there is a feeder under the window.	","zebra with hind next to a wall, wall with trim, window on the wall, beam on the wall, feeder under the window,"
"zebra with a tail, hind, and back legs. there is another zebra on the ground with a head.	","zebra with a tail, hind, and back legs, another zebra on the ground with a head,"
"there is a laptop and camera on a sofa with a pen. there is a console with an edge, and a dictionary underneath the camera.	","laptop and camera on a sofa, sofa with a pen, console with an edge, dictionary underneath the camera,"
"a catcher is behind home plate, with a ref and batter behind them. the ref is wearing a mask and the batter is wearing a helmet	","catcher behind home plate, ref and batter behind catcher, ref wearing a mask, batter wearing a helmet,"
cabinet beneath counter with a drawer and knob. there is a second drawer in the cabinet with another knob.	,"cabinet beneath counter, cabinet with a drawer, drawer with a knob, second drawer in the cabinet, second drawer with another knob,"
"laptop with a keyboard on a desk with a drawing table. there is a touch next to another keyboard, and a cable connected to the laptop.	","laptop with a keyboard on a desk, desk with a drawing table, touch next to another keyboard, cable connected to the laptop,"
birthday cake with pink icing on a plate on the floor	,"birthday cake with pink icing on a plate, plate on the floor,"
"man wearing a t-shirt with two hands, each with a knuckle	","man wearing a t-shirt, two hands with knuckles,"
there is a rack inside an oven. food is baking on the rack. the oven has an edge and side. there are knobs on the side.	,"rack inside an oven, food baking on the rack, oven with an edge and side, knobs on the side of the oven,"
a man with a snowboard that has a logo on it. the man's hand is on the snowboard. the snowboard is sitting in the snow. the man's foot is on the snowboard.	,"man with a snowboard, snowboard with a logo, man's hand on the snowboard, snowboard sitting in the snow, man's foot on the snowboard,"
"keyboard with space bar, buttons, and lights in front of a glass window	","keyboard with space bar, buttons, and lights, keyboard in front of a glass window,"
"toilet with seat and rack next to it, sink with faucet and drain, in a bathroom	","toilet with seat and rack, sink with faucet and drain, in a bathroom,"
a train pulling a cart down a rail. there is a building behind the rail and a flower blooming next to the train.	,"train pulling a cart down a rail, building behind the rail, flower blooming next to the train,"
"flower in a box, a wheel on a bench between two boxes, and a bush behind the bench	","flower in a box, wheel on a bench, bench between two boxes, bush behind the bench,"
a lady wearing glasses and a cardigan is using a laptop at a computer station. a man wearing glasses is next to her. there is a sticker on the computers.	,"lady wearing glasses and a cardigan using a laptop at a computer station, man wearing glasses next to her, sticker on the computers,"
man on bench with laptop and hand on laptop. there is a shadow on the bench and a tree nearby.	,"man on bench with laptop, hand on laptop, shadow on the bench, tree nearby,"
"a court with a sponsor, wall, and shadow. the court has the name ""et"" on it.	","court with a sponsor, court with a wall, court with a shadow, court with ""et"" on it,"
